"x","y","Layer","cell_count","Dominant","ct_count","Astro","Endo","L2/3","L4","L5","L6","Oligo","Pvalb","Smc","Sst","Vip","dominant_hat"
3,14,"L2/3",8,"Endo",5,0.261109791566858,0.00871492593882503,0.146466058702686,0.0770758210058561,0.105855044101607,0.020423031266735,0.0345689444734203,0.145409030537857,0.0169439845494469,0.0290644572503333,0.154368910606376,"Astro"
3,15,"L2/3",7,"L2/3",3,0.23353045496384,0.000250680850560128,0.101594011422521,0.0668492677322143,0.100630438256644,0.0650086904016796,0.0132983828506775,0.26069233738005,0.0245106545579639,0.0338070101962682,0.099828071387581,"Pvalb"
3,16,"L2/3",9,"L2/3",3,0.160148784477409,0.000122166193131484,0.146541674875685,0.10516691586918,0.094754213592435,0.0261297047810552,0.202531489589367,0.0709289317298559,0.0164083601463218,0.0132267326086033,0.164041026136957,"Oligo"
3,17,"L2/3",10,"L2/3",4,0.222048931942454,0.000399129892523901,0.14135779370591,0.061221351033785,0.0509785711859288,0.035538222106152,0.013870805444273,0.0563085260392377,0.036110201858563,0.250792838097105,0.131373628694068,"Sst"
3,18,"L1",1,"Astro",1,0.686055890532939,6.54911028257979e-05,0.0176253042466796,0.00312535730489238,0.0367273239156157,0.0224436391557807,0.00494703366341004,0.0565268939945069,0.078122908943054,0.000562721831168701,0.0937974353091273,"Astro"
3,19,"L1",2,"Astro",2,0.587537777045457,0.0100113340803889,0.0484324056671668,0.0234551786364055,0.0360831470050419,0.0169226879983856,0.0224734695402929,0.0598687607280272,0.0714151669004419,0.00104008974352715,0.122759982654865,"Astro"
3,2,"I_CC",3,"Oligo",2,1.65310902579569e-05,4.45662938936735e-05,0.000460100337625838,0.0105536317688556,0.00630600460068725,0.0042858465348638,0.96448761381423,0.00176520062316904,0.000311412899347643,0.00256432685210696,0.00920476518496233,"Oligo"
3,3,"I_CC",9,"Oligo",2,0.00137298844693807,4.02489331306406e-05,0.000232343649967612,0.0055169321488454,0.00513180404261262,0.00217979213201123,0.973702230231135,0.00213047120449824,0.000464403012765159,0.000415200302103873,0.00881358589599224,"Oligo"
3,4,"I_CC",5,"Oligo",4,0.0762693774389619,0.000182970778429344,0.0128901312455702,0.0584877582266061,0.035351281888128,0.0329614519397337,0.726712851657319,0.00121509593787832,0.0537663743813809,0.000972472172871637,0.00119023433312137,"Oligo"
3,5,"L6",11,"L6",3,0.191670919132454,0.00013809461999331,0.0150318094745593,0.0429363600703556,0.123912882564559,0.104956646316788,0.311739936797703,0.0558127338228244,0.0535804564298337,0.0159608500394372,0.0842593107314921,"Oligo"
3,6,"L6",8,"L6",1,0.269841279845529,0.000102974719568022,0.0249770810723379,0.025485810732361,0.182461802152229,0.175183851254856,0.0579777911528414,0.0935178304014008,0.0355748198871383,0.00530074328689696,0.129576015494842,"Astro"
3,7,"L6",7,"L6",4,0.255776994541803,0.00192027780979355,0.0134570310131237,0.0459715950828053,0.163467016334103,0.0712934061712436,0.142362095764884,0.157005372676316,0.0379788620355318,0.0162075943188218,0.0945597542515747,"Astro"
3,8,"L5",5,"Astro",2,0.387975141478058,0.000469061665173261,0.0136956259384101,0.0204686519136359,0.0809270064334004,0.0656295311360827,0.205463078044371,0.0863899869350645,0.0351497566690121,0.00523422314358389,0.0985979366432085,"Astro"
3,9,"L5",6,"L5",4,0.327617551835127,0.00025938668786792,0.0198788296487472,0.0466382176564572,0.12553873456676,0.0331674317572555,0.225372914419412,0.0751369595435223,0.0200213191801163,0.0288343586820924,0.0975342960226418,"Astro"
