"gene"
"Dlx6os1"
"Fstl5"
"Fxyd6"
"Galnt14"
"Gpd1"
"Hdac9"
"Hnrnph2"
"Hsd17b12"
"Htr3a"
"Igf1"
"Kit"
"Klhl13"
"Npas1"
"Npy2r"
"Olfm3"
"Pcdh8"
"Penk"
"Pnoc"
"Rgs10"
"Rgs8"
"Sorcs3"
"Tac2"
"Thsd7a"
"Vip"
