"x","y","Layer","cell_count","Dominant","ct_count","Astro","Endo","L2/3","L4","L5","L6","Oligo","Pvalb","Smc","Sst","Vip","dominant_hat"
2,11,"L4",9,"Endo",3,0.154221007579339,0.0884189764238541,0.00655286383760274,0.116121411733898,0.4091572504535,0.000232060845186617,0.0220997711706647,0.0569807270595736,0.0274366117109863,0.0392102342457644,0.0795690849396301,"L5"
2,12,"L4",6,"Endo",3,0.0956148447418855,0.124621385803275,0.000315286313395222,0.311825221939467,0.120432953220437,0.0668231751523485,0.0225258931030509,0.139702638767216,0.0468428045489721,0.0385411599540818,0.0327546364558707,"L4"
2,13,"L4",10,"L4",3,0.100811566949227,0.0884095171653062,0.0257315937879445,0.366957280877776,0.035166236509507,0.0783860475259947,0.0228595995989703,0.168664703137733,0.0520803127521473,0.0197578471075852,0.041175294587808,"L4"
2,14,"L2/3",8,"Endo",4,0.118507067723243,0.126256478830753,0.140476980075973,0.232027025198206,0.0409788920727334,0.0921663069765073,0.0173900617525544,0.130508675726788,0.0329443211457711,0.0251781248002471,0.0435660656972249,"L4"
2,15,"L2/3",8,"Endo",4,0.155861086109835,0.077662759343806,0.272680659951082,0.139961983988127,0.108370717857181,0.0151786815663124,0.0292772128363616,0.0647891541916377,0.0497187343641243,0.0403703006489567,0.046128709142576,"L2/3"
2,16,"L2/3",10,"L2/3",4,0.110587290555592,0.0634356050677824,0.386663190032171,0.123136551197632,0.0702263841773349,0.000221166964993774,0.0253413872924101,0.102551863766763,0.0421741671783567,0.020299220441043,0.0553631733259217,"L2/3"
2,17,"L2/3",9,"Endo",5,0.0655115518168801,0.0850545593272769,0.235079133653441,0.0948576320501797,0.0615881720212493,0.124474437831789,0.0372202902190827,0.206026284953398,0.0327500962626644,0.00550622435674956,0.05193161750729,"L2/3"
2,18,"L2/3",9,"Endo",3,0.121001169416281,0.113348868988741,0.223669181972041,0.148021548360416,0.0696132292744205,0.0843896695339805,0.0211155306680637,0.0811480466673421,0.0567915580633015,0.0259451015847002,0.0549560954707123,"L2/3"
2,19,"L1",3,"Endo",2,0.204107008479589,0.137417048068518,0.0947480780594111,0.0148174479236858,0.139454252141667,0.0581554442952701,0.0138912574169814,0.129290367427933,0.0384820795040027,0.0495858193844031,0.120051197298538,"Astro"
2,2,"I_CC",9,"Astro",4,0.289391102117895,0.0363216308290909,0.0478286454026966,0.0128041614805992,0.118791929006034,0.0571067717870259,0.110082658369517,0.0638790307091569,0.0212327601534651,0.167587041598218,0.0749742685463015,"Astro"
2,3,"I_CC",6,"Oligo",2,0.189774201356502,0.01927469185639,0.000204860777026736,0.000204860777026735,0.231121118608892,0.000204860777026734,0.339742589032,0.0112655378485064,0.0495484401388448,0.116197720062496,0.0424611187652887,"Oligo"
2,4,"I_CC",4,"Oligo",1,0.0883702578668406,0.0444816506944372,0.000333199772806816,0.0563759271681487,0.197724171159832,0.000333199772806913,0.388269622691645,0.0604684620733082,0.0349969724058585,0.0837314609348205,0.0449150754594954,"Oligo"
2,5,"L6",10,"L6",3,0.113864800886852,0.0248489192138452,0.000227788022085175,0.0742643924847062,0.0594360379195338,0.432448126310617,0.0516724576781579,0.097573203157049,0.0540753537827605,0.0460370107896219,0.0455519097547708,"L6"
2,6,"L6",6,"L6",3,0.066243191848818,0.0226990876889962,0.00589041322550725,0.121917354269223,0.100839354505035,0.434502928637695,0.0159422997394657,0.0582741164550027,0.0317910449914148,0.0706432224320036,0.071256986206839,"L6"
2,7,"L6",12,"L6",1,0.0654435539282899,0.0194022607411843,0.000149189903781853,0.064912703819202,0.0635794928267346,0.583493519303662,0.0185565183412986,0.079480448816037,0.04232109141246,0.0173087628462025,0.0453524580611469,"L6"
2,8,"L6",8,"L6",4,0.0735384604857103,0.0176254425029844,0.000340232657654352,0.0876640977922649,0.247099232973272,0.31229740462197,0.048063119045418,0.0958768193180495,0.0521647871669725,0.0335699613174518,0.0317604421182513,"L6"
2,9,"L5",4,"L6",3,0.0954400538871072,0.0580154682535602,0.0314015200945054,0.000185075659624952,0.503500054332189,0.0756324539038145,0.038777470390331,0.0638392899151526,0.0188351902493571,0.0692652715143993,0.0451081517999587,"L5"
3,10,"L5",7,"L5",4,0.103639924663622,0.0191265945715578,0.0634818908960709,0.00030377861242471,0.490936920659508,0.000220919393547097,0.0133099348961125,0.11068105232798,0.0300838065220765,0.0317250078125901,0.13649016964451,"L5"
3,11,"L5",5,"L4",3,0.102348110116767,0.0123995806469218,0.0478105635928189,0.156873884375843,0.384644233250002,0.00518042319338301,0.0158592519445566,0.156088521032514,0.0370624507294005,0.0176825179271471,0.0640504631906452,"L5"
3,12,"L4",12,"L4",4,0.108152549565601,0.023267048646526,0.000151337714491031,0.422506482283351,0.0549646135913432,0.0989258815983436,0.0158725525709595,0.185972606596687,0.0340729145033954,0.00374357324723493,0.0523704396820676,"L4"
3,13,"L4",9,"L4",5,0.0755431937113726,0.0313812701484768,0.000207351637209863,0.377064859269505,0.000240787778921688,0.193451432407345,0.0354065484247621,0.194988755284212,0.0269896881564106,0.0201712817509923,0.0445548314307918,"L4"
