"x","y","Layer","ID","EPL-IN","GC","M-TC","OSNs","PGC","dominant_hat"
18.004,26.964,"MCL",264,0.0365154747515368,0.027019148827706,0.664779053178695,5.34198521974517e-06,0.271680981256843,"M-TC"
18.017,17.034,"GL",1,0.0741624151714196,0.0564840796080224,0.400610025700168,0.0292137457699198,0.43952973375047,"PGC"
18.033,24.967,"GL",171,0.0717380048448736,0.0660443911569303,0.652334896005302,0.000289930924200673,0.209592777068694,"M-TC"
18.038,27.974,"GL",263,0.19048353085849,0.0512303314568366,0.308853080738102,6.75754968351827e-06,0.449426299396887,"PGC"
18.068,22.018,"GL",154,0.0932327048823931,0.0585820047105316,0.374144144559582,0.000112709827486464,0.473928436020007,"PGC"
18.126,23.926,"GL",169,0.0880807858796442,0.033838901551849,0.468247042990213,0.000225005273594333,0.409608264304699,"M-TC"
18.155,22.881,"GL",167,0.0342859467738486,0.0426420269604353,0.503429754755376,0.00236177400758128,0.417280497502759,"M-TC"
18.904,15.986,"ONL",188,0.0613665359246884,0.243611465189256,0.182603771511429,0.411945189150334,0.100473038224293,"OSNs"
18.957,18.977,"ONL",146,0.0457685349801065,0.145942936406728,0.24533441076179,0.413923964872686,0.14903015297869,"OSNs"
18.97,26.953,"GL",273,0.0784920489839036,0.210476785083039,0.276927863747219,0.0654521155842423,0.368651186601597,"PGC"
18.978,20.047,"ONL",145,0.0736871594384503,0.130085359019949,0.461805043577521,0.0027309372495326,0.331691500714547,"M-TC"
18.979,17.065,"ONL",3,0.0479130127120038,0.105128491047306,0.222090332785654,0.500915901287225,0.123952262167811,"OSNs"
18.98,21.065,"ONL",159,0.183442798911037,0.169066480983823,0.314343487128654,0.0888757119267824,0.244271521049704,"M-TC"
18.984,22.881,"ONL",165,0.0245912525731626,0.124650610204005,0.253965440965727,0.412026246631394,0.184766449625711,"OSNs"
18.997,24.953,"GL",172,0.100724564915071,0.0651298274362113,0.468714453102737,0.015987114654469,0.349444039891512,"M-TC"
19.032,21.982,"ONL",158,0.0820787198861862,0.187990514441904,0.232049653421871,0.303768265086108,0.194112847163931,"OSNs"
19.037,17.976,"ONL",143,0.0395583933269684,0.0984457140956621,0.183613385310663,0.528347388890708,0.150035118375999,"OSNs"
19.039,23.982,"ONL",164,0.032093524581971,0.247801958442932,0.326434573468276,0.112140521948462,0.281529421558359,"M-TC"
19.04,25.9,"GL",234,0.0620154564373473,0.169020052380018,0.340764826553388,0.0329871898865248,0.395212474742722,"PGC"
19.993,18.035,"ONL",147,0.0243499703228382,0.228613185605093,0.204224330847143,0.449143391121845,0.0936691221030803,"OSNs"
20.045,25.924,"GL",235,0.0288550331182838,0.214397787140713,0.398695972420836,0.0798608508212631,0.278190356498904,"M-TC"
20.051,20.007,"ONL",144,0.0311591395936953,0.214821237149126,0.183316755689305,0.438717588734348,0.131985278833525,"OSNs"
20.053,21.979,"ONL",161,0.024472290298249,0.167755275752434,0.124411857084549,0.366143385717995,0.317217191146773,"OSNs"
